Date,LAT,LON,ALLSKY_SFC_SW_DWN,RH2M,T2M,GWETTOP,Precipitations_mm,VPD
2020-01-04,27.5,-7.5,15.97,35.22,8.17,,0.0,0.703
2020-01-04,27.5,-2.5,13.54,35.3,8.51,,0.0,0.719
2020-01-04,28.5,-7.5,15.2,29.72,9.81,,0.0,0.852
2020-01-04,28.5,-2.5,14.1,34.76,8.18,,0.0,0.708
2020-01-04,29.5,-7.5,14.97,31.02,11.95,,0.0,0.964
2020-01-04,29.5,-2.5,14.85,34.4,7.63,,0.0,0.686
2020-01-04,30.5,-7.5,14.77,48.77,6.5,,0.0,0.496
2020-01-04,30.5,-2.5,14.83,34.49,8.68,,0.0,0.736
2020-01-04,31.5,-7.5,13.89,56.61,8.88,,0.0,0.494
2020-01-04,31.5,-2.5,14.4,37.57,9.07,,0.0,0.72
2020-01-04,32.5,-7.5,12.6,83.23,11.26,,0.0,0.224
2020-01-04,32.5,-2.5,13.86,45.71,6.61,,0.0,0.529
2020-01-04,33.5,-7.5,11.4,82.99,13.93,,0.0,0.271
2020-01-04,33.5,-2.5,13.2,60.53,7.07,,0.0,0.397
2020-01-04,34.5,-7.5,6.36,70.84,16.63,,0.3,0.552
2020-01-04,34.5,-2.5,11.33,77.02,8.71,,0.0,0.259
2020-01-04,35.5,-7.5,8.69,73.43,15.5,,0.1,0.468
2020-01-04,35.5,-2.5,8.07,82.73,14.68,,0.0,0.288
2020-01-05,27.5,-7.5,16.47,30.23,8.36,,0.0,0.767
2020-01-05,27.5,-2.5,15.87,31.76,8.21,,0.0,0.743
2020-01-05,28.5,-7.5,15.69,24.47,10.11,,0.0,0.934
2020-01-05,28.5,-2.5,15.43,29.59,8.27,,0.0,0.769
2020-01-05,29.5,-7.5,15.05,28.49,12.37,,0.0,1.028
2020-01-05,29.5,-2.5,15.55,27.97,7.91,,0.0,0.768
2020-01-05,30.5,-7.5,14.71,56.07,5.22,,0.0,0.389
2020-01-05,30.5,-2.5,14.55,30.12,8.42,,0.0,0.771
2020-01-05,31.5,-7.5,13.92,55.99,8.26,,0.0,0.481
2020-01-05,31.5,-2.5,14.41,32.91,9.29,,0.0,0.785
2020-01-05,32.5,-7.5,12.72,83.1,10.42,,0.0,0.213
2020-01-05,32.5,-2.5,13.96,37.92,6.67,,0.0,0.608
2020-01-05,33.5,-7.5,10.76,79.41,13.04,,0.0,0.309
2020-01-05,33.5,-2.5,13.4,41.48,6.38,,0.0,0.562
2020-01-05,34.5,-7.5,7.63,69.62,15.59,,0.0,0.538
2020-01-05,34.5,-2.5,12.06,64.02,7.75,,0.0,0.379
2020-01-05,35.5,-7.5,9.17,78.37,16.11,,0.1,0.396
2020-01-05,35.5,-2.5,9.05,77.87,14.55,,0.1,0.367
2020-01-06,27.5,-7.5,16.36,28.41,7.78,,0.0,0.757
2020-01-06,27.5,-2.5,15.48,32.85,7.71,,0.0,0.706
2020-01-06,28.5,-7.5,15.49,23.95,9.17,,0.0,0.883
2020-01-06,28.5,-2.5,15.26,33.04,7.82,,0.0,0.71
2020-01-06,29.5,-7.5,15.08,27.5,10.87,,0.0,0.943
2020-01-06,29.5,-2.5,14.98,36.79,6.73,,0.0,0.622
2020-01-06,30.5,-7.5,14.72,45.85,4.14,,0.0,0.445
2020-01-06,30.5,-2.5,14.7,37.32,6.98,,0.0,0.627
2020-01-06,31.5,-7.5,13.46,58.78,6.68,,0.2,0.404
2020-01-06,31.5,-2.5,14.17,38.61,7.89,,0.0,0.654
2020-01-06,32.5,-7.5,12.01,81.1,10.93,,0.0,0.247
2020-01-06,32.5,-2.5,13.82,39.76,6.64,,0.0,0.589
2020-01-06,33.5,-7.5,11.59,81.97,13.32,,0.0,0.276
2020-01-06,33.5,-2.5,12.87,47.88,5.91,,0.0,0.484
2020-01-06,34.5,-7.5,10.44,72.89,16.54,,0.0,0.51
2020-01-06,34.5,-2.5,10.44,62.18,7.67,,0.0,0.397
2020-01-06,35.5,-7.5,8.74,78.03,16.45,,0.1,0.411
2020-01-06,35.5,-2.5,6.45,79.96,14.26,,0.0,0.326
2020-01-07,27.5,-7.5,14.64,38.12,7.67,,0.0,0.649
2020-01-07,27.5,-2.5,12.25,45.32,8.62,,0.0,0.612
2020-01-07,28.5,-7.5,14.06,35.05,8.64,,0.0,0.728
2020-01-07,28.5,-2.5,11.85,47.4,8.5,,0.0,0.584
2020-01-07,29.5,-7.5,15.44,31.51,10.04,,0.0,0.843
2020-01-07,29.5,-2.5,12.91,50.6,7.03,,0.0,0.496
2020-01-07,30.5,-7.5,15.14,48.03,2.33,,0.0,0.375
2020-01-07,30.5,-2.5,14.63,54.99,6.32,,0.0,0.43
2020-01-07,31.5,-7.5,14.25,45.21,5.78,,0.0,0.505
2020-01-07,31.5,-2.5,13.6,49.98,7.13,,0.0,0.506
2020-01-07,32.5,-7.5,13.51,61.47,10.48,,0.0,0.489
2020-01-07,32.5,-2.5,14.1,52.71,5.08,,0.0,0.415
2020-01-07,33.5,-7.5,12.85,73.96,12.8,,0.0,0.385
2020-01-07,33.5,-2.5,13.54,63.86,4.51,,0.0,0.305
2020-01-07,34.5,-7.5,12.15,75.54,16.42,,0.0,0.457
2020-01-07,34.5,-2.5,12.39,70.15,6.94,,0.0,0.298
2020-01-07,35.5,-7.5,11.47,76.98,16.5,,0.0,0.432
2020-01-07,35.5,-2.5,10.5,77.19,13.79,,0.0,0.36
2020-01-08,27.5,-7.5,15.29,47.72,8.22,,0.0,0.569
2020-01-08,27.5,-2.5,14.25,44.07,8.62,,0.0,0.626
2020-01-08,28.5,-7.5,14.72,44.08,8.8,,0.0,0.633
2020-01-08,28.5,-2.5,13.34,45.83,8.57,,0.0,0.604
2020-01-08,29.5,-7.5,15.52,37.57,10.61,,0.0,0.798
2020-01-08,29.5,-2.5,14.22,54.17,6.88,,0.0,0.455
2020-01-08,30.5,-7.5,14.82,48.57,3.59,,0.0,0.406
2020-01-08,30.5,-2.5,14.95,52.27,7.12,,0.0,0.482
2020-01-08,31.5,-7.5,14.36,46.05,6.15,,0.0,0.51
2020-01-08,31.5,-2.5,14.15,46.87,8.37,,0.0,0.584
2020-01-08,32.5,-7.5,13.62,56.9,10.7,,0.0,0.555
2020-01-08,32.5,-2.5,13.73,50.33,5.56,,0.0,0.45
2020-01-08,33.5,-7.5,12.93,72.96,13.25,,0.0,0.412
2020-01-08,33.5,-2.5,13.59,47.09,6.52,,0.0,0.513
2020-01-08,34.5,-7.5,12.23,72.79,16.6,,0.0,0.514
2020-01-08,34.5,-2.5,12.52,56.23,7.53,,0.0,0.455
2020-01-08,35.5,-7.5,11.95,75.65,16.65,,0.0,0.461
2020-01-08,35.5,-2.5,10.66,73.0,14.04,,0.0,0.433
2020-01-09,27.5,-7.5,16.43,33.7,8.93,,0.0,0.758
2020-01-09,27.5,-2.5,16.3,42.65,7.93,,0.0,0.612
2020-01-09,28.5,-7.5,15.72,32.26,10.98,,0.0,0.888
2020-01-09,28.5,-2.5,15.71,42.45,8.07,,0.0,0.62
2020-01-09,29.5,-7.5,15.24,30.31,13.08,,0.0,1.049
2020-01-09,29.5,-2.5,14.71,44.9,7.12,,0.0,0.557
2020-01-09,30.5,-7.5,15.18,47.09,5.2,,0.0,0.468
2020-01-09,30.5,-2.5,14.54,44.31,7.94,,0.0,0.595
2020-01-09,31.5,-7.5,14.28,50.95,6.81,,0.0,0.485
2020-01-09,31.5,-2.5,14.12,45.61,8.09,,0.0,0.587
2020-01-09,32.5,-7.5,13.45,65.97,10.54,,0.0,0.433
2020-01-09,32.5,-2.5,13.92,55.14,5.19,,0.0,0.397
2020-01-09,33.5,-7.5,11.31,79.7,13.11,,0.0,0.306
2020-01-09,33.5,-2.5,13.42,61.91,4.21,,0.0,0.314
2020-01-09,34.5,-7.5,9.4,77.25,16.58,,0.0,0.429
2020-01-09,34.5,-2.5,11.21,66.09,6.7,,0.0,0.333
2020-01-09,35.5,-7.5,10.2,76.07,16.09,,0.0,0.438
2020-01-09,35.5,-2.5,7.26,75.44,13.55,,0.2,0.381
2020-01-10,27.5,-7.5,16.22,31.61,11.34,,0.0,0.918
2020-01-10,27.5,-2.5,15.8,48.39,8.61,,0.0,0.577
2020-01-10,28.5,-7.5,15.74,30.97,11.19,,0.0,0.918
2020-01-10,28.5,-2.5,15.48,48.24,9.22,,0.0,0.603
2020-01-10,29.5,-7.5,15.22,31.16,12.78,,0.0,1.016
2020-01-10,29.5,-2.5,14.87,46.4,8.97,,0.0,0.614
2020-01-10,30.5,-7.5,15.29,43.56,6.53,,0.0,0.547
2020-01-10,30.5,-2.5,14.52,44.41,9.31,,0.0,0.652
2020-01-10,31.5,-7.5,14.29,55.61,6.92,,0.0,0.442
2020-01-10,31.5,-2.5,14.09,50.53,8.91,,0.0,0.564
2020-01-10,32.5,-7.5,13.18,80.05,10.64,,0.0,0.256
2020-01-10,32.5,-2.5,12.99,67.4,5.52,,0.0,0.295
2020-01-10,33.5,-7.5,9.51,79.31,12.93,,0.0,0.308
2020-01-10,33.5,-2.5,12.3,79.19,4.89,,0.4,0.18
2020-01-10,34.5,-7.5,9.65,74.7,16.03,,0.4,0.461
2020-01-10,34.5,-2.5,9.81,81.26,7.21,,1.8,0.19
2020-01-10,35.5,-7.5,10.97,74.02,15.54,,0.0,0.459
2020-01-10,35.5,-2.5,8.27,77.27,14.89,,2.3,0.385
2020-01-11,27.5,-7.5,16.18,47.78,11.16,,0.0,0.693
2020-01-11,27.5,-2.5,15.67,43.28,10.64,,0.0,0.727
2020-01-11,28.5,-7.5,15.6,42.72,10.55,,0.0,0.73
2020-01-11,28.5,-2.5,14.62,42.46,11.04,,0.0,0.757
2020-01-11,29.5,-7.5,15.26,36.55,12.03,,0.0,0.892
2020-01-11,29.5,-2.5,13.51,50.55,9.41,,0.0,0.584
2020-01-11,30.5,-7.5,15.48,47.53,5.01,,0.0,0.458
2020-01-11,30.5,-2.5,14.1,62.79,7.97,,0.0,0.398
2020-01-11,31.5,-7.5,11.67,62.94,5.12,,0.0,0.326
2020-01-11,31.5,-2.5,12.31,69.11,7.36,,0.0,0.317
2020-01-11,32.5,-7.5,10.84,74.24,9.59,,0.0,0.308
2020-01-11,32.5,-2.5,8.82,77.77,4.47,,0.3,0.187
2020-01-11,33.5,-7.5,12.35,74.45,12.11,,0.0,0.361
2020-01-11,33.5,-2.5,7.52,85.77,4.02,,0.3,0.116
2020-01-11,34.5,-7.5,12.34,70.23,16.29,,0.1,0.551
2020-01-11,34.5,-2.5,8.61,89.41,6.98,,1.2,0.106
2020-01-11,35.5,-7.5,11.66,70.05,16.47,,0.0,0.561
2020-01-11,35.5,-2.5,7.39,77.89,14.79,,5.0,0.372
2020-01-12,27.5,-7.5,15.21,46.77,9.8,,0.0,0.645
2020-01-12,27.5,-2.5,16.38,50.37,9.6,,0.0,0.593
2020-01-12,28.5,-7.5,14.59,44.89,10.12,,0.0,0.682
2020-01-12,28.5,-2.5,15.8,56.6,9.12,,0.0,0.502
2020-01-12,29.5,-7.5,15.37,40.4,11.4,,0.0,0.803
2020-01-12,29.5,-2.5,15.49,59.84,8.26,,0.0,0.438
2020-01-12,30.5,-7.5,15.54,62.67,2.65,,0.0,0.276
2020-01-12,30.5,-2.5,15.11,59.1,7.96,,0.0,0.438
2020-01-12,31.5,-7.5,14.81,55.87,5.5,,0.0,0.399
2020-01-12,31.5,-2.5,14.6,61.29,6.98,,0.0,0.387
2020-01-12,32.5,-7.5,14.2,54.13,10.3,,0.0,0.575
2020-01-12,32.5,-2.5,12.8,70.9,4.33,,0.0,0.242
2020-01-12,33.5,-7.5,13.51,69.88,11.76,,0.0,0.416
2020-01-12,33.5,-2.5,11.53,75.28,4.09,,0.0,0.202
2020-01-12,34.5,-7.5,12.99,73.12,16.35,,0.0,0.5
2020-01-12,34.5,-2.5,11.63,75.63,6.71,,0.0,0.239
2020-01-12,35.5,-7.5,12.31,73.3,16.33,,0.0,0.496
2020-01-12,35.5,-2.5,11.41,74.72,13.76,,0.5,0.398
2020-01-13,27.5,-7.5,16.52,48.51,8.88,,0.0,0.586
2020-01-13,27.5,-2.5,15.78,49.77,9.11,,0.0,0.581
2020-01-13,28.5,-7.5,15.85,44.85,9.29,,0.0,0.646
2020-01-13,28.5,-2.5,16.39,46.96,9.33,,0.0,0.623
2020-01-13,29.5,-7.5,15.1,37.3,11.17,,0.0,0.832
2020-01-13,29.5,-2.5,15.93,47.83,8.43,,0.0,0.576
2020-01-13,30.5,-7.5,15.52,45.32,4.56,,0.0,0.463
2020-01-13,30.5,-2.5,15.39,50.91,7.95,,0.0,0.525
2020-01-13,31.5,-7.5,14.81,44.29,6.66,,0.0,0.545
2020-01-13,31.5,-2.5,15.12,52.36,7.21,,0.0,0.484
2020-01-13,32.5,-7.5,13.84,50.68,10.85,,0.0,0.641
2020-01-13,32.5,-2.5,14.69,63.36,3.34,,0.0,0.284
2020-01-13,33.5,-7.5,13.48,69.3,12.6,,0.0,0.448
2020-01-13,33.5,-2.5,14.08,59.24,3.5,,0.0,0.32
2020-01-13,34.5,-7.5,12.3,67.85,16.45,,0.0,0.602
2020-01-13,34.5,-2.5,13.55,52.54,6.88,,0.0,0.472
2020-01-13,35.5,-7.5,11.41,64.08,16.17,,0.0,0.66
2020-01-13,35.5,-2.5,12.4,59.32,13.24,,0.0,0.619
2020-01-14,27.5,-7.5,16.88,40.89,8.91,,0.0,0.674
2020-01-14,27.5,-2.5,17.07,46.79,8.75,,0.0,0.601
2020-01-14,28.5,-7.5,16.26,39.27,9.19,,0.0,0.706
2020-01-14,28.5,-2.5,16.13,40.23,8.83,,0.0,0.678
2020-01-14,29.5,-7.5,14.2,33.77,11.33,,0.0,0.889
2020-01-14,29.5,-2.5,15.91,36.03,8.84,,0.0,0.726
2020-01-14,30.5,-7.5,12.99,46.89,3.42,,0.0,0.415
2020-01-14,30.5,-2.5,15.52,39.34,7.88,,0.0,0.645
2020-01-14,31.5,-7.5,9.99,48.15,5.86,,0.0,0.48
2020-01-14,31.5,-2.5,15.14,39.99,7.43,,0.0,0.619
2020-01-14,32.5,-7.5,9.7,49.12,10.96,,0.0,0.666
2020-01-14,32.5,-2.5,14.75,41.83,5.18,,0.0,0.514
2020-01-14,33.5,-7.5,11.51,61.92,12.46,,0.0,0.55
2020-01-14,33.5,-2.5,13.98,41.65,5.53,,0.0,0.528
2020-01-14,34.5,-7.5,11.02,67.39,16.27,,0.0,0.603
2020-01-14,34.5,-2.5,12.33,48.51,8.65,,0.0,0.577
2020-01-14,35.5,-7.5,10.96,68.88,16.29,,0.0,0.576
2020-01-14,35.5,-2.5,11.82,69.3,14.83,,0.0,0.518
2020-01-15,27.5,-7.5,11.43,41.03,8.2,,0.0,0.641
2020-01-15,27.5,-2.5,10.9,50.31,9.32,,0.0,0.583
2020-01-15,28.5,-7.5,13.52,37.28,8.46,,0.0,0.694
2020-01-15,28.5,-2.5,14.23,49.03,9.3,,0.0,0.597
2020-01-15,29.5,-7.5,13.51,29.74,10.32,,0.0,0.881
2020-01-15,29.5,-2.5,15.01,46.04,8.08,,0.0,0.582
2020-01-15,30.5,-7.5,15.29,37.91,3.62,,0.0,0.492
2020-01-15,30.5,-2.5,14.35,38.05,7.53,,0.0,0.644
2020-01-15,31.5,-7.5,15.16,40.79,5.3,,0.0,0.527
2020-01-15,31.5,-2.5,13.33,35.28,7.63,,0.0,0.677
2020-01-15,32.5,-7.5,14.06,45.15,10.32,,0.0,0.688
2020-01-15,32.5,-2.5,13.19,38.08,5.93,,0.0,0.576
2020-01-15,33.5,-7.5,13.54,58.25,12.55,,0.0,0.607
2020-01-15,33.5,-2.5,13.13,45.38,5.86,,0.0,0.506
2020-01-15,34.5,-7.5,13.14,58.65,17.28,,0.0,0.816
2020-01-15,34.5,-2.5,11.87,49.83,8.18,,0.0,0.545
2020-01-15,35.5,-7.5,12.05,67.92,17.53,,0.0,0.643
2020-01-15,35.5,-2.5,11.35,68.53,15.27,,0.0,0.546
2020-01-16,27.5,-7.5,16.88,45.62,8.75,,0.0,0.614
2020-01-16,27.5,-2.5,15.72,49.71,11.2,,0.0,0.669
2020-01-16,28.5,-7.5,16.37,38.83,8.91,,0.0,0.698
2020-01-16,28.5,-2.5,15.81,47.79,10.77,,0.0,0.675
2020-01-16,29.5,-7.5,16.12,27.42,10.69,,0.0,0.933
2020-01-16,29.5,-2.5,15.6,43.48,8.84,,0.0,0.642
2020-01-16,30.5,-7.5,16.09,35.31,5.23,,0.0,0.573
2020-01-16,30.5,-2.5,15.31,34.85,8.3,,0.0,0.713
2020-01-16,31.5,-7.5,15.09,39.76,6.0,,0.0,0.563
2020-01-16,31.5,-2.5,15.2,31.77,8.45,,0.0,0.755
2020-01-16,32.5,-7.5,14.23,39.69,11.07,,0.0,0.795
2020-01-16,32.5,-2.5,14.91,41.5,5.77,,0.0,0.538
2020-01-16,33.5,-7.5,13.78,52.56,13.24,,0.0,0.722
2020-01-16,33.5,-2.5,14.32,51.19,5.3,,0.0,0.435
2020-01-16,34.5,-7.5,13.2,59.43,17.06,,0.0,0.789
2020-01-16,34.5,-2.5,13.23,49.41,8.33,,0.0,0.555
2020-01-16,35.5,-7.5,12.66,63.39,17.34,,0.0,0.725
2020-01-16,35.5,-2.5,11.98,59.12,14.6,,0.0,0.679
2020-01-17,27.5,-7.5,16.8,32.78,9.14,,0.0,0.779
2020-01-17,27.5,-2.5,16.44,64.81,9.93,,0.0,0.43
2020-01-17,28.5,-7.5,16.09,25.6,10.24,,0.0,0.928
2020-01-17,28.5,-2.5,16.21,62.36,9.18,,0.0,0.437
2020-01-17,29.5,-7.5,16.26,23.72,12.19,,0.0,1.083
2020-01-17,29.5,-2.5,16.22,55.59,7.69,,0.0,0.466
2020-01-17,30.5,-7.5,16.2,32.97,5.86,,0.0,0.621
2020-01-17,30.5,-2.5,15.95,38.72,8.26,,0.0,0.669
2020-01-17,31.5,-7.5,15.43,31.88,8.71,,0.0,0.767
2020-01-17,31.5,-2.5,15.37,39.34,8.78,,0.0,0.686
2020-01-17,32.5,-7.5,14.17,39.36,11.71,,0.0,0.834
2020-01-17,32.5,-2.5,15.02,49.81,5.4,,0.0,0.45
2020-01-17,33.5,-7.5,13.54,58.16,13.42,,0.0,0.644
2020-01-17,33.5,-2.5,14.31,50.05,6.11,,0.0,0.471
2020-01-17,34.5,-7.5,12.24,66.59,17.4,,0.0,0.664
2020-01-17,34.5,-2.5,12.75,49.83,8.86,,0.0,0.571
2020-01-17,35.5,-7.5,9.92,75.48,17.5,,0.0,0.49
2020-01-17,35.5,-2.5,12.0,73.97,15.59,,0.0,0.461
2020-01-18,27.5,-7.5,17.24,34.72,9.25,,0.0,0.762
2020-01-18,27.5,-2.5,17.45,46.28,9.82,,0.0,0.652
2020-01-18,28.5,-7.5,16.41,26.22,10.91,,0.0,0.963
2020-01-18,28.5,-2.5,16.83,37.8,9.58,,0.0,0.743
2020-01-18,29.5,-7.5,16.32,21.66,13.85,,0.0,1.24
2020-01-18,29.5,-2.5,16.48,32.47,9.23,,0.0,0.787
2020-01-18,30.5,-7.5,16.34,29.33,8.16,,0.0,0.766
2020-01-18,30.5,-2.5,15.93,32.37,9.81,,0.0,0.82
2020-01-18,31.5,-7.5,15.24,31.19,10.14,,0.0,0.853
2020-01-18,31.5,-2.5,15.33,34.31,9.95,,0.0,0.804
2020-01-18,32.5,-7.5,14.43,44.63,13.02,,0.0,0.83
2020-01-18,32.5,-2.5,14.89,37.08,7.98,,0.0,0.674
2020-01-18,33.5,-7.5,13.56,68.95,13.88,,0.0,0.492
2020-01-18,33.5,-2.5,13.97,42.38,8.2,,0.0,0.627
2020-01-18,34.5,-7.5,12.71,82.81,17.01,,0.0,0.333
2020-01-18,34.5,-2.5,10.63,45.48,10.69,,0.9,0.701
2020-01-18,35.5,-7.5,10.75,88.71,17.04,,2.1,0.219
2020-01-18,35.5,-2.5,5.76,69.31,15.72,,0.7,0.548
2020-01-19,27.5,-7.5,17.58,33.18,11.58,,0.0,0.912
2020-01-19,27.5,-2.5,17.37,32.05,10.33,,0.0,0.853
2020-01-19,28.5,-7.5,16.87,31.01,13.87,,0.0,1.094
2020-01-19,28.5,-2.5,16.63,27.69,10.56,,0.0,0.922
2020-01-19,29.5,-7.5,16.29,29.55,15.9,,0.0,1.273
2020-01-19,29.5,-2.5,16.33,23.73,11.39,,0.0,1.027
2020-01-19,30.5,-7.5,16.26,50.38,6.76,,0.0,0.489
2020-01-19,30.5,-2.5,15.96,30.68,11.59,,0.0,0.946
2020-01-19,31.5,-7.5,12.72,62.07,7.16,,5.8,0.384
2020-01-19,31.5,-2.5,14.56,38.66,11.28,,0.8,0.82
2020-01-19,32.5,-7.5,7.13,75.36,10.44,,6.0,0.312
2020-01-19,32.5,-2.5,9.49,57.27,7.3,,2.6,0.437
2020-01-19,33.5,-7.5,8.16,86.81,13.03,,15.1,0.198
2020-01-19,33.5,-2.5,7.44,67.25,6.46,,2.2,0.316
2020-01-19,34.5,-7.5,7.74,77.92,16.41,,4.6,0.412
2020-01-19,34.5,-2.5,7.92,73.64,8.93,,11.1,0.301
2020-01-19,35.5,-7.5,9.4,73.7,16.01,,0.9,0.478
2020-01-19,35.5,-2.5,8.96,76.35,14.64,,10.6,0.394
2020-01-20,27.5,-7.5,16.47,63.51,11.99,,0.0,0.511
2020-01-20,27.5,-2.5,17.08,31.68,11.99,,0.0,0.958
2020-01-20,28.5,-7.5,16.08,59.98,11.57,,0.0,0.546
2020-01-20,28.5,-2.5,16.59,34.54,10.88,,0.0,0.852
2020-01-20,29.5,-7.5,13.62,48.64,11.81,,0.0,0.711
2020-01-20,29.5,-2.5,16.44,54.98,9.53,,0.0,0.536
2020-01-20,30.5,-7.5,10.78,72.45,1.86,,0.3,0.192
2020-01-20,30.5,-2.5,14.99,70.62,8.81,,0.0,0.333
2020-01-20,31.5,-7.5,8.04,88.59,3.34,,12.8,0.089
2020-01-20,31.5,-2.5,13.78,75.04,6.43,,0.7,0.24
2020-01-20,32.5,-7.5,8.34,83.15,9.23,,2.8,0.196
2020-01-20,32.5,-2.5,10.35,90.3,2.35,,1.4,0.07
2020-01-20,33.5,-7.5,9.0,76.49,11.51,,2.5,0.319
2020-01-20,33.5,-2.5,8.0,89.94,3.6,,1.0,0.08
2020-01-20,34.5,-7.5,8.88,69.63,14.75,,5.9,0.51
2020-01-20,34.5,-2.5,6.32,86.72,6.51,,1.6,0.129
2020-01-20,35.5,-7.5,8.58,67.88,14.07,,0.8,0.516
2020-01-20,35.5,-2.5,8.44,79.45,12.9,,9.7,0.306
2020-01-21,27.5,-7.5,17.18,67.12,10.22,,0.0,0.41
2020-01-21,27.5,-2.5,16.63,45.23,12.43,,0.0,0.79
2020-01-21,28.5,-7.5,16.72,63.34,10.39,,0.0,0.462
2020-01-21,28.5,-2.5,16.04,45.9,11.07,,0.0,0.713
2020-01-21,29.5,-7.5,15.58,42.46,11.12,,0.0,0.761
2020-01-21,29.5,-2.5,15.97,56.38,8.89,,0.0,0.497
2020-01-21,30.5,-7.5,11.89,72.05,1.65,,2.1,0.192
2020-01-21,30.5,-2.5,15.9,60.39,8.15,,0.0,0.429
2020-01-21,31.5,-7.5,12.68,75.48,3.56,,2.4,0.193
2020-01-21,31.5,-2.5,14.94,63.47,7.21,,0.0,0.371
2020-01-21,32.5,-7.5,11.36,77.49,8.58,,0.6,0.251
2020-01-21,32.5,-2.5,14.47,66.25,3.82,,0.1,0.271
2020-01-21,33.5,-7.5,11.14,76.1,10.66,,2.0,0.307
2020-01-21,33.5,-2.5,14.05,66.34,4.05,,0.1,0.275
2020-01-21,34.5,-7.5,11.05,70.19,14.21,,1.5,0.483
